name,position,industry,company_size,finance_stage,location,experience,education,salary
深圳市众乐网视文化传播有限公司,Python开发工程师,移动互联网社交Linux/Unix后端,150-500人,A轮,南山区,3-5年,大专,20k-30k
武汉微思敦网络技术有限公司,高级Python开发工程师,大数据,50-150人,不需要融资,南山区,5-10年,本科,20k-25k
达而观信息科技（上海）有限公司,高级python开发工程师,企业服务大数据后端C++机器学习,50-150人,B轮,南山区,3-5年,本科,18k-36k
北京国双科技有限公司,高级Python研发工程师,云计算大数据平台,500-2000人,上市公司,福田区,3-5年,本科,15k-30k
深圳小步网络科技有限公司,Python后台开发工程师,,50-150人,B轮,宝安区,3-5年,本科,15k-30k
深圳佑驾创新科技有限公司,python工程师,,150-500人,A轮,南山区,1-3年,本科,15k-30k
深圳爱财科技有限公司,Python工程师,,15-50人,不需要融资,南山区,1-3年,本科,18k-30k
上海海知智能科技有限公司,Python开发工程师,大数据Hadoop,50-150人,A轮,南山区,3-5年,本科,20k-40k
深圳晶泰科技有限公司,Python后端开发工程师,,50-150人,C轮,福田区,1-3年,本科,15k-30k
深圳市和讯华谷信息技术有限公司,极光调研 - 高级 Python 工程师,大数据Java,500-2000人,上市公司,南山区,3-5年,本科,18k-35k
深圳市紫川软件有限公司,python工程师,,500-2000人,不需要融资,南山区,1-3年,本科,8k-14k
深圳蓝贝科技有限公司,python开发工程师,,150-500人,B轮,南山区,3-5年,本科,15k-25k
深圳朗安信息科技有限公司,Python开发工程师,信息安全ShellLinux/Unix,50-150人,不需要融资,南山区,3-5年,本科,15k-20k
华润置地（深圳）有限公司,数据工程师（Python）,大数据数据分析MySQL,500-2000人,上市公司,南山区,3-5年,本科,13k-26k
广州影子控股股份有限公司,Python 后台研发工程师（深圳公司）,大数据云计算,150-500人,不需要融资,南山区,5-10年,本科,20k-40k
北京国双科技有限公司,资深python研发工程师,大数据云计算,500-2000人,上市公司,福田区,5-10年,本科,20k-40k
深圳爱财科技有限公司,Python工程师(B),,15-50人,不需要融资,南山区,3-5年,本科,19k-30k
深圳小步网络科技有限公司,00005-高级Python后台开发工程师,,50-150人,B轮,宝安区,3-5年,本科,20k-30k
深圳云天励飞技术有限公司,Python开发工程师(J10047),,500-2000人,A轮,福田区,3-5年,不限,15k-25k
爱客科技（深圳）有限公司,Python 高级后台工程师,,50-150人,不需要融资,南山区,3-5年,本科,18k-35k
深圳市立新出行信息技术有限公司,Python后台开发工程师,,50-150人,不需要融资,宝安区,3-5年,本科,25k-35k
深圳市环球易购电子商务有限公司,高级python开发工程师,云计算软件开发,2000人以上,上市公司,南山区,3-5年,大专,15k-25k
上海海知智能科技有限公司,Python开发实习生,大数据数据挖掘数据分析,50-150人,A轮,南山区,应届毕业生,本科,3k-4k
深圳羚羊极速科技有限公司,后台开发工程师（Python可转）,,50-150人,A轮,南山区,3-5年,本科,12k-24k
深圳华强聚丰电子科技有限公司,Python高级开发/爬虫工程师,,150-500人,A轮,福田区,3-5年,本科,13k-18k
